image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
112,150,4350,225,4425,351125.1154461877,4730014.941377874,POINT (351125.1154461877 4730014.941377874)
113,150,4500,225,4575,351275.1154461877,4730014.941377874,POINT (351275.1154461877 4730014.941377874)
114,150,4650,225,4725,351425.1154461877,4730014.941377874,POINT (351425.1154461877 4730014.941377874)
115,150,4800,225,4875,351575.1154461877,4730014.941377874,POINT (351575.1154461877 4730014.941377874)
116,150,4950,225,5025,351725.1154461877,4730014.941377874,POINT (351725.1154461877 4730014.941377874)
117,150,5100,225,5175,351875.1154461877,4730014.941377874,POINT (351875.1154461877 4730014.941377874)
118,150,5250,225,5325,352025.1154461877,4730014.941377874,POINT (352025.1154461877 4730014.941377874)
119,150,5400,225,5475,352175.1154461877,4730014.941377874,POINT (352175.1154461877 4730014.941377874)
120,150,5550,225,5625,352325.1154461877,4730014.941377874,POINT (352325.1154461877 4730014.941377874)
121,150,5700,225,5775,352475.1154461877,4730014.941377874,POINT (352475.1154461877 4730014.941377874)
122,150,5850,225,5925,352625.1154461877,4730014.941377874,POINT (352625.1154461877 4730014.941377874)
123,150,6000,225,6075,352775.1154461877,4730014.941377874,POINT (352775.1154461877 4730014.941377874)
124,150,6150,225,6225,352925.1154461877,4730014.941377874,POINT (352925.1154461877 4730014.941377874)
125,150,6300,225,6375,353075.1154461877,4730014.941377874,POINT (353075.1154461877 4730014.941377874)
126,150,6450,225,6525,353225.1154461877,4730014.941377874,POINT (353225.1154461877 4730014.941377874)
127,150,6600,225,6675,353375.1154461877,4730014.941377874,POINT (353375.1154461877 4730014.941377874)
128,150,6750,225,6825,353525.1154461877,4730014.941377874,POINT (353525.1154461877 4730014.941377874)
129,150,6900,225,6975,353675.1154461877,4730014.941377874,POINT (353675.1154461877 4730014.941377874)
130,150,7050,225,7125,353825.1154461877,4730014.941377874,POINT (353825.1154461877 4730014.941377874)
131,150,7200,225,7275,353975.1154461877,4730014.941377874,POINT (353975.1154461877 4730014.941377874)
132,150,7350,225,7425,354125.1154461877,4730014.941377874,POINT (354125.1154461877 4730014.941377874)
133,150,7500,225,7575,354275.1154461877,4730014.941377874,POINT (354275.1154461877 4730014.941377874)
134,150,7650,225,7725,354425.1154461877,4730014.941377874,POINT (354425.1154461877 4730014.941377874)
135,150,7800,225,7875,354575.1154461877,4730014.941377874,POINT (354575.1154461877 4730014.941377874)
136,150,7950,225,8025,354725.1154461877,4730014.941377874,POINT (354725.1154461877 4730014.941377874)
137,150,8100,225,8175,354875.1154461877,4730014.941377874,POINT (354875.1154461877 4730014.941377874)
138,150,8250,225,8325,355025.1154461877,4730014.941377874,POINT (355025.1154461877 4730014.941377874)
139,150,8400,225,8475,355175.1154461877,4730014.941377874,POINT (355175.1154461877 4730014.941377874)
140,150,8550,225,8625,355325.1154461877,4730014.941377874,POINT (355325.1154461877 4730014.941377874)
141,150,8700,225,8775,355475.1154461877,4730014.941377874,POINT (355475.1154461877 4730014.941377874)
142,150,8850,225,8925,355625.1154461877,4730014.941377874,POINT (355625.1154461877 4730014.941377874)
143,150,9000,225,9075,355775.1154461877,4730014.941377874,POINT (355775.1154461877 4730014.941377874)
144,150,9150,225,9225,355925.1154461877,4730014.941377874,POINT (355925.1154461877 4730014.941377874)
145,150,9300,225,9375,356075.1154461877,4730014.941377874,POINT (356075.1154461877 4730014.941377874)
146,150,9450,225,9525,356225.1154461877,4730014.941377874,POINT (356225.1154461877 4730014.941377874)
147,150,9600,225,9675,356375.1154461877,4730014.941377874,POINT (356375.1154461877 4730014.941377874)
148,150,9750,225,9825,356525.1154461877,4730014.941377874,POINT (356525.1154461877 4730014.941377874)
149,150,9900,225,9975,356675.1154461877,4730014.941377874,POINT (356675.1154461877 4730014.941377874)
150,150,10050,225,10125,356825.1154461877,4730014.941377874,POINT (356825.1154461877 4730014.941377874)
151,150,10200,225,10275,356975.1154461877,4730014.941377874,POINT (356975.1154461877 4730014.941377874)
152,150,10350,225,10425,357125.1154461877,4730014.941377874,POINT (357125.1154461877 4730014.941377874)
153,150,10500,225,10575,357275.1154461877,4730014.941377874,POINT (357275.1154461877 4730014.941377874)
154,150,10650,225,10725,357425.1154461877,4730014.941377874,POINT (357425.1154461877 4730014.941377874)
155,150,10800,225,10875,357575.1154461877,4730014.941377874,POINT (357575.1154461877 4730014.941377874)
156,150,10950,225,11025,357725.1154461877,4730014.941377874,POINT (357725.1154461877 4730014.941377874)
157,150,11100,225,11175,357875.1154461877,4730014.941377874,POINT (357875.1154461877 4730014.941377874)
158,150,11250,225,11325,358025.1154461877,4730014.941377874,POINT (358025.1154461877 4730014.941377874)
159,150,11400,225,11475,358175.1154461877,4730014.941377874,POINT (358175.1154461877 4730014.941377874)
160,150,11550,225,11625,358325.1154461877,4730014.941377874,POINT (358325.1154461877 4730014.941377874)
161,150,11700,225,11775,358475.1154461877,4730014.941377874,POINT (358475.1154461877 4730014.941377874)
