image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
41,0,6000,75,6075,364046.3384976996,4729971.646813435,POINT (364046.3384976996 4729971.646813435)
42,0,6150,75,6225,364196.3384976996,4729971.646813435,POINT (364196.3384976996 4729971.646813435)
43,0,6300,75,6375,364346.3384976996,4729971.646813435,POINT (364346.3384976996 4729971.646813435)
44,0,6450,75,6525,364496.3384976996,4729971.646813435,POINT (364496.3384976996 4729971.646813435)
45,0,6600,75,6675,364646.3384976996,4729971.646813435,POINT (364646.3384976996 4729971.646813435)
46,0,6750,75,6825,364796.3384976996,4729971.646813435,POINT (364796.3384976996 4729971.646813435)
47,0,6900,75,6975,364946.3384976996,4729971.646813435,POINT (364946.3384976996 4729971.646813435)
48,0,7050,75,7125,365096.3384976996,4729971.646813435,POINT (365096.3384976996 4729971.646813435)
49,0,7200,75,7275,365246.3384976996,4729971.646813435,POINT (365246.3384976996 4729971.646813435)
50,0,7350,75,7425,365396.3384976996,4729971.646813435,POINT (365396.3384976996 4729971.646813435)
51,0,7500,75,7575,365546.3384976996,4729971.646813435,POINT (365546.3384976996 4729971.646813435)
52,0,7650,75,7725,365696.3384976996,4729971.646813435,POINT (365696.3384976996 4729971.646813435)
53,0,7800,75,7875,365846.3384976996,4729971.646813435,POINT (365846.3384976996 4729971.646813435)
54,0,7950,75,8025,365996.3384976996,4729971.646813435,POINT (365996.3384976996 4729971.646813435)
55,0,8100,75,8175,366146.3384976996,4729971.646813435,POINT (366146.3384976996 4729971.646813435)
56,0,8250,75,8325,366296.3384976996,4729971.646813435,POINT (366296.3384976996 4729971.646813435)
57,0,8400,75,8475,366446.3384976996,4729971.646813435,POINT (366446.3384976996 4729971.646813435)
58,0,8550,75,8625,366596.3384976996,4729971.646813435,POINT (366596.3384976996 4729971.646813435)
59,0,8700,75,8775,366746.3384976996,4729971.646813435,POINT (366746.3384976996 4729971.646813435)
60,0,8850,75,8925,366896.3384976996,4729971.646813435,POINT (366896.3384976996 4729971.646813435)
61,0,9000,75,9075,367046.3384976996,4729971.646813435,POINT (367046.3384976996 4729971.646813435)
62,0,9150,75,9225,367196.3384976996,4729971.646813435,POINT (367196.3384976996 4729971.646813435)
63,0,9300,75,9375,367346.3384976996,4729971.646813435,POINT (367346.3384976996 4729971.646813435)
64,0,9450,75,9525,367496.3384976996,4729971.646813435,POINT (367496.3384976996 4729971.646813435)
65,0,9600,75,9675,367646.3384976996,4729971.646813435,POINT (367646.3384976996 4729971.646813435)
66,0,9750,75,9825,367796.3384976996,4729971.646813435,POINT (367796.3384976996 4729971.646813435)
67,0,9900,75,9975,367946.3384976996,4729971.646813435,POINT (367946.3384976996 4729971.646813435)
68,0,10050,75,10125,368096.3384976996,4729971.646813435,POINT (368096.3384976996 4729971.646813435)
69,0,10200,75,10275,368246.3384976996,4729971.646813435,POINT (368246.3384976996 4729971.646813435)
70,0,10350,75,10425,368396.3384976996,4729971.646813435,POINT (368396.3384976996 4729971.646813435)
71,0,10500,75,10575,368546.3384976996,4729971.646813435,POINT (368546.3384976996 4729971.646813435)
72,0,10650,75,10725,368696.3384976996,4729971.646813435,POINT (368696.3384976996 4729971.646813435)
73,0,10800,75,10875,368846.3384976996,4729971.646813435,POINT (368846.3384976996 4729971.646813435)
74,0,10950,75,11025,368996.3384976996,4729971.646813435,POINT (368996.3384976996 4729971.646813435)
75,0,11100,75,11175,369146.3384976996,4729971.646813435,POINT (369146.3384976996 4729971.646813435)
76,150,0,225,75,358046.3384976996,4729821.646813435,POINT (358046.3384976996 4729821.646813435)
77,150,150,225,225,358196.3384976996,4729821.646813435,POINT (358196.3384976996 4729821.646813435)
78,150,300,225,375,358346.3384976996,4729821.646813435,POINT (358346.3384976996 4729821.646813435)
79,150,450,225,525,358496.3384976996,4729821.646813435,POINT (358496.3384976996 4729821.646813435)
80,150,600,225,675,358646.3384976996,4729821.646813435,POINT (358646.3384976996 4729821.646813435)
81,150,750,225,825,358796.3384976996,4729821.646813435,POINT (358796.3384976996 4729821.646813435)
82,150,900,225,975,358946.3384976996,4729821.646813435,POINT (358946.3384976996 4729821.646813435)
83,150,1050,225,1125,359096.3384976996,4729821.646813435,POINT (359096.3384976996 4729821.646813435)
84,150,1200,225,1275,359246.3384976996,4729821.646813435,POINT (359246.3384976996 4729821.646813435)
85,150,1350,225,1425,359396.3384976996,4729821.646813435,POINT (359396.3384976996 4729821.646813435)
86,150,1500,225,1575,359546.3384976996,4729821.646813435,POINT (359546.3384976996 4729821.646813435)
87,150,1650,225,1725,359696.3384976996,4729821.646813435,POINT (359696.3384976996 4729821.646813435)
88,150,1800,225,1875,359846.3384976996,4729821.646813435,POINT (359846.3384976996 4729821.646813435)
89,150,1950,225,2025,359996.3384976996,4729821.646813435,POINT (359996.3384976996 4729821.646813435)
90,150,2100,225,2175,360146.3384976996,4729821.646813435,POINT (360146.3384976996 4729821.646813435)
91,150,2250,225,2325,360296.3384976996,4729821.646813435,POINT (360296.3384976996 4729821.646813435)
92,150,2400,225,2475,360446.3384976996,4729821.646813435,POINT (360446.3384976996 4729821.646813435)
93,150,2550,225,2625,360596.3384976996,4729821.646813435,POINT (360596.3384976996 4729821.646813435)
94,150,2700,225,2775,360746.3384976996,4729821.646813435,POINT (360746.3384976996 4729821.646813435)
95,150,2850,225,2925,360896.3384976996,4729821.646813435,POINT (360896.3384976996 4729821.646813435)
96,150,3000,225,3075,361046.3384976996,4729821.646813435,POINT (361046.3384976996 4729821.646813435)
97,150,3150,225,3225,361196.3384976996,4729821.646813435,POINT (361196.3384976996 4729821.646813435)
98,150,3300,225,3375,361346.3384976996,4729821.646813435,POINT (361346.3384976996 4729821.646813435)
99,150,3450,225,3525,361496.3384976996,4729821.646813435,POINT (361496.3384976996 4729821.646813435)
100,150,3600,225,3675,361646.3384976996,4729821.646813435,POINT (361646.3384976996 4729821.646813435)
101,150,3750,225,3825,361796.3384976996,4729821.646813435,POINT (361796.3384976996 4729821.646813435)
102,150,3900,225,3975,361946.3384976996,4729821.646813435,POINT (361946.3384976996 4729821.646813435)
103,150,4050,225,4125,362096.3384976996,4729821.646813435,POINT (362096.3384976996 4729821.646813435)
104,150,4200,225,4275,362246.3384976996,4729821.646813435,POINT (362246.3384976996 4729821.646813435)
105,150,4350,225,4425,362396.3384976996,4729821.646813435,POINT (362396.3384976996 4729821.646813435)
106,150,4500,225,4575,362546.3384976996,4729821.646813435,POINT (362546.3384976996 4729821.646813435)
107,150,4650,225,4725,362696.3384976996,4729821.646813435,POINT (362696.3384976996 4729821.646813435)
108,150,4800,225,4875,362846.3384976996,4729821.646813435,POINT (362846.3384976996 4729821.646813435)
109,150,4950,225,5025,362996.3384976996,4729821.646813435,POINT (362996.3384976996 4729821.646813435)
110,150,5100,225,5175,363146.3384976996,4729821.646813435,POINT (363146.3384976996 4729821.646813435)
111,150,5250,225,5325,363296.3384976996,4729821.646813435,POINT (363296.3384976996 4729821.646813435)
112,150,5400,225,5475,363446.3384976996,4729821.646813435,POINT (363446.3384976996 4729821.646813435)
113,150,5550,225,5625,363596.3384976996,4729821.646813435,POINT (363596.3384976996 4729821.646813435)
114,150,5700,225,5775,363746.3384976996,4729821.646813435,POINT (363746.3384976996 4729821.646813435)
115,150,5850,225,5925,363896.3384976996,4729821.646813435,POINT (363896.3384976996 4729821.646813435)
116,150,6000,225,6075,364046.3384976996,4729821.646813435,POINT (364046.3384976996 4729821.646813435)
117,150,6150,225,6225,364196.3384976996,4729821.646813435,POINT (364196.3384976996 4729821.646813435)
118,150,6300,225,6375,364346.3384976996,4729821.646813435,POINT (364346.3384976996 4729821.646813435)
119,150,6450,225,6525,364496.3384976996,4729821.646813435,POINT (364496.3384976996 4729821.646813435)
120,150,6600,225,6675,364646.3384976996,4729821.646813435,POINT (364646.3384976996 4729821.646813435)
121,150,6750,225,6825,364796.3384976996,4729821.646813435,POINT (364796.3384976996 4729821.646813435)
122,150,6900,225,6975,364946.3384976996,4729821.646813435,POINT (364946.3384976996 4729821.646813435)
123,150,7050,225,7125,365096.3384976996,4729821.646813435,POINT (365096.3384976996 4729821.646813435)
124,150,7200,225,7275,365246.3384976996,4729821.646813435,POINT (365246.3384976996 4729821.646813435)
